taxon_oid	NCBI Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	GOLD Analysis Project Type	IMG Submission ID	GOLD Analysis Project ID	GOLD Sequencing Project ID	GOLD Study ID	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Depth In Meters	Genome Size  * assembled	Gene Count  * assembled	Predicted Viruses
3300067463	*Microbiome	Permanent Draft	Seawater and ice microbial communities from Arctic Ocean	Metatranscriptome of seawater microbial communities from Arctic Ocean - PS122_327_328_329_330_pool (Metagenome Metatranscriptome)	DOE Joint Genome Institute  (JGI)	3300067463	Metatranscriptome Analysis	322616	Ga0613544	Gp0758728	Gs0153906	Environmental	Aquatic	Oceanic	Marine	Unclassified	270.000000	139209006	353562	
3300036327	*Microbiome	Permanent Draft	Enriched cells of cold seep sediment from various locations in Pacific Ocean	Enriched cells of cold seep sediment from Jaco Scar, coast of Costa Rica, Pacific Ocean - ANME aggregate JGI_Orphan.10073.BNCT.2.I6	DOE Joint Genome Institute  (JGI)	3300036327	Metagenome - Cell Enrichment	222720	Ga0402028	Gp0455182	Gs0144571	Environmental	Aquatic	Cold seeps	Marine	Sediment	1850.000000	5351695	5626	
3300065505	*Microbiome	Permanent Draft	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume viral communities from Gulf of California, Mexico - CTD-FK190211-025-250m-0.03 v	DOE Joint Genome Institute  (JGI)	3300065505	Metagenome Analysis	316470	Ga0496614	Gp0569618	Gs0154120	Environmental	Aquatic	Hydrothermal vents	Marine	Unclassified	250.000000	406278622	980368	
3300036295	*Microbiome	Permanent Draft	Enriched cells of cold seep sediment from various locations in Pacific Ocean	Enriched cells of cold seep sediment from Jaco Scar, coast of Costa Rica, Pacific Ocean - ANME aggregate JGI_Orphan.10073.BNCT.1.D3	DOE Joint Genome Institute  (JGI)	3300036295	Metagenome - Cell Enrichment	222693	Ga0402001	Gp0455155	Gs0144571	Environmental	Aquatic	Cold seeps	Marine	Sediment	1850.000000	4796185	5065	
3300024141	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.02.E3	DOE Joint Genome Institute  (JGI)	3300024141	Metagenome - Cell Enrichment	182639	Ga0255438	Gp0293577	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	1690448	1917	
3300000830	*Microbiome	Permanent Draft	Abyssal marine microbial communities from the Red Sea	Abyssal marine microbial communities from the Red Sea, sample ts15w	Beijing Genomics Institute (BGI)	3300000830	Metagenome Analysis	12073	Ga0011729	Gp0055196	Gs0084219	Environmental	Aquatic	Oceanic	Marine	Abyssal plane	800.000000	0	0	
3300024116	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.01.G7	DOE Joint Genome Institute  (JGI)	3300024116	Metagenome - Cell Enrichment	182117	Ga0255400	Gp0293539	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	6972263	7787	
3300024211	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.02.I9	DOE Joint Genome Institute  (JGI)	3300024211	Metagenome - Cell Enrichment	182634	Ga0255440	Gp0293579	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	3948195	4441	
3300040947	*Microbiome	Permanent Draft	Marine microbial communities from the Puerto Rico Trench, Atlantic Ocean	Marine microbial communities from the Puerto Rico Trench, Atlantic Ocean - 8263m	Michigan State University	3300040947	Metagenome Analysis	236931	Ga0450679	Gp0502283	Gs0149359	Environmental	Aquatic	Hadalpelagic	Marine	Unclassified	8263.000000	584931329	1189729	
3300022085	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	Sorted cell/s from sediment in Norwegian Sea - JL-ETNP-Z39_bacterium_AG-205-A06	DOE Joint Genome Institute  (JGI)	3300022085	Metagenome - Single Particle Sort	167962	Ga0215204	Gp0242543	Gs0111485	Environmental	Aquatic	Sediment	Marine	Unclassified	3280.000000	879843	792	
